z,Time,ISM,Stars,H,He,C,N,O,Fe
6.426426426426427,8745411962.501938,1688311574184816.8,87372769606.14876,-76843100055285.38,-24266242121344.668,447103952944189.1,447103952944189.1,447103874403558.75,447109136155128.75
6.438438438438438,8746512659.630177,1691544690646529.2,87372769606.14876,-77143884952938.7,-24361226825842.34,448011174460155.0,448011174460155.0,448011095919524.6,448016357671094.6
6.45045045045045,8747608922.041615,1694777807108241.8,87372769606.14876,-77444669850592.03,-24456211530340.01,448918395976120.9,448918395976120.9,448918317435490.5,448923579187060.5
6.4624624624624625,8748700774.710506,1698010923569954.2,87372769606.14876,-77745454748245.36,-24551196234837.684,449825617492086.75,449825617492086.75,449825538951456.4,449830800703026.4
6.474474474474475,8749788242.430574,1701244040031666.8,87372769606.14876,-78046239645898.69,-24646180939335.355,450732839008052.6,450732839008052.6,450732760467422.25,450738022218992.25
6.486486486486487,8750871349.816595,1704477156493379.2,87372769606.14876,-78347024543552.02,-24741165643833.027,451640060524018.5,451640060524018.5,451639981983388.1,451645243734958.1
6.498498498498498,8751950121.305977,1707710272955091.8,87372769606.14876,-78647809441205.34,-24836150348330.7,452547282039984.4,452547282039984.4,452547203499354.0,452552465250924.0
6.51051051051051,8753024581.160322,1710943389416804.2,87372769606.14876,-78948594338858.67,-24931135052828.37,453454503555950.25,453454503555950.25,453454425015319.9,453459686766889.9
6.5225225225225225,8754094753.466965,1714176505878516.8,87372769606.14876,-79249379236512.0,-25026119757326.043,454361725071916.1,454361725071916.1,454361646531285.75,454366908282855.75
6.534534534534535,8755160662.140501,1717409622340229.2,87372769606.14876,-79550164134165.33,-25121104461823.715,455268946587882.0,455268946587882.0,455268868047251.6,455274129798821.6
6.546546546546547,8756222330.924303,1720642738801941.8,87372769606.14876,-79850949031818.66,-25216089166321.387,456176168103847.9,456176168103847.9,456176089563217.5,456181351314787.5
6.558558558558558,8757279783.392012,1723875855263654.2,87372769606.14876,-80151733929471.98,-25311073870819.06,457083389619813.75,457083389619813.75,457083311079183.4,457088572830753.4
6.57057057057057,8758333042.949018,1727108971725366.8,87372769606.14876,-80452518827125.31,-25406058575316.73,457990611135779.6,457990611135779.6,457990532595149.25,457995794346719.25
6.5825825825825826,8759382132.833931,1730342088187079.2,87372769606.14876,-80753303724778.64,-25501043279814.402,458897832651745.5,458897832651745.5,458897754111115.1,458903015862685.1
6.594594594594595,8760427076.120022,1733575204648791.8,87372769606.14876,-81054088622431.97,-25596027984312.074,459805054167711.4,459805054167711.4,459804975627081.0,459810237378651.0
