z,Time,ISM,Stars,H,He,C,N,O,Fe
0.7257257257257258,5141830640.7513,1960801022536.1467,39546702018.89764,724951367182.2216,228932010689.12314,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.7507507507507508,5228529458.853908,1960801089214.8962,39546635340.148125,724951417858.0712,228932026692.023,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.7757757757757758,5312184593.482479,1960801089214.8962,39546635340.148125,724951417858.0712,228932026692.023,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.8008008008008008,5392943565.749481,1960801152371.0198,39546572184.02454,724951465856.7251,228932041849.49268,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.8258258258258259,5470944829.485383,1960801152371.0198,39546572184.02454,724951465856.7251,228932041849.49268,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.8508508508508509,5546318443.216864,1960801212063.3828,39546512491.66159,724951511222.9209,228932056175.6598,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.8758758758758759,5619186684.0728855,1960801212063.3828,39546512491.66159,724951511222.9209,228932056175.6598,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.9009009009009009,5689664609.333254,1960801268351.4924,39546456203.55193,724951554001.8843,228932069684.80612,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.9259259259259259,5757860570.705261,1960801268351.4924,39546456203.55193,724951554001.8843,228932069684.80612,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.9509509509509511,5823876685.861284,1960801268351.4924,39546456203.55193,724951554001.8843,228932069684.80612,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.9759759759759761,5887809271.283856,1960801321295.5115,39546403259.5329,724951594239.3387,228932082391.3707,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.001001001001001,5949749240.035935,1960801321295.5115,39546403259.5329,724951594239.3387,228932082391.3707,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.026026026026026,6009782467.695442,1960801370956.2715,39546353598.772804,724951631981.5164,228932094309.95312,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.0510510510510511,6067990129.35829,1960801370956.2715,39546353598.772804,724951631981.5164,228932094309.95312,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.0760760760760761,6124449010.317439,1960801370956.2715,39546353598.772804,724951631981.5164,228932094309.95312,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.1011011011011012,6179231792.762384,1960801370956.2715,39546353598.772804,724951631981.5164,228932094309.95312,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.1261261261261262,6232407320.609549,1960801417395.2874,39546307159.7569,724951667275.1685,228932105455.31696,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.1511511511511512,6284040844.366084,1960801417395.2874,39546307159.7569,724951667275.1685,228932105455.31696,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.1761761761761762,6334194247.744054,1960801417395.2874,39546307159.7569,724951667275.1685,228932105455.31696,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.2012012012012012,6382926257.576637,1960801460674.7715,39546263880.27283,724951700167.5763,228932115842.39313,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.2262262262262262,6430292638.440077,1960801460674.7715,39546263880.27283,724951700167.5763,228932115842.39313,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.2512512512512513,6476346373.252875,1960801460674.7715,39546263880.27283,724951700167.5763,228932115842.39313,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.2762762762762763,6521137831.005255,1960801460674.7715,39546263880.27283,724951700167.5763,228932115842.39313,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.3013013013013013,6564714922.665602,1960801500857.6487,39546223697.39566,724951730706.563,228932125486.28366,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
1.3263263263263263,6607123246.215187,1960801500857.6487,39546223697.39566,724951730706.563,228932125486.28366,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
